,Domain,Count,Tweets
0,newsteller.org,1,2
1,washingtonpost.com,5,6
2,apnews.com,9,100
3,mediasuarakyat.ga,2,2
4,gellerreport.com,5,581
5,rt.com,21,1605
6,theduran.com,10,126
7,blogspot.com,42,96
8,sputniknews.com,18,1077
9,thetruthseeker.co.uk,5,33
10,therealnews.com,3,238
11,independent.co.uk,7,445
12,thefringenews.com,4,4
13,veteranstoday.com,9,185
14,thedailysheeple.com,3,21
15,thenewhumanitarian.org,1,93
16,sott.net,17,207
17,thesyriacampaign.org,2,112
18,ems1.com,2,6
19,seosem.es,1,1
20,bbc.co.uk,10,48
21,21stcenturywire.com,36,3088
22,aljazeera.com,7,213
23,yahoo.com,21,190
24,washingtonsblog.com,4,25
25,wrongkindofgreen.org,16,51
26,steemit.com,10,22
27,buzzfeed.com,1,42
28,dailystar.com.lb,1,1
29,go.com,1,42
30,mintpressnews.com,11,1558
31,nancysix.org,1,1
32,spotify.com,1,3
33,wikipedia.org,5,18
34,blauerbote.com,6,30
35,liveleak.com,10,40
36,alligatorarmy.com,1,17
37,kiblat.net,8,43
38,friendsforsyria.com,8,31
39,newslocker.com,38,63
40,worldtruth.tv,3,11
41,w3livenews.com,2,2
42,informazione.it,2,2
43,tipperarylive.ie,7,147
44,campaign-archive.com,1,4
45,cnn.com,7,756
46,netflix.com,2,19
47,ronpaulinstitute.org,2,93
48,occasion-to-be.com,2,2
49,theguardian.com,11,443
50,earthlink.com,1,1
51,1clickdaily.com,14,19
52,com.mx,1,1
53,fundmycause.net,1,4
54,wordpress.com,81,519
55,lzomedia.com,1,1
56,sharjah24.ae,1,1
57,blacklistednews.com,2,9
58,middleeasteye.net,3,345
59,alarabiya.net,2,2
60,cbsnews.com,5,185
61,altnews.top,1,3
62,telegraph.co.uk,9,260
63,com.tr,3,13
64,russia-insider.com,4,274
65,google.com,73,93
66,therussophile.org,9,17
67,theonlycolors.com,1,2
68,mirror.co.uk,2,3
69,irishtimes.com,2,68
70,sinkers.org,1,1
71,linkedin.com,1,1
72,thefreethoughtproject.com,4,256
73,worldaffairs.blog,3,20
74,farsnews.com,5,9
75,rightrelevance.com,3,3
76,quiboat.com,22,25
77,tumblr.com,12,16
78,truepatriot.net,2,2
79,informationclearinghouse.info,3,26
80,timesofnews.com,14,18
81,noesis2017.com,1,3
82,theamericanconservative.com,1,120
83,podomatic.com,2,27
84,dailymail.co.uk,9,389
85,atharori.net,3,3
86,ipsnews.net,1,5
87,salon.com,1,39
88,foxnews.com,1,80
89,1newsnet.com,3,6
90,telesurenglish.net,3,52
91,lasvegasnvblog.com,1,3
92,theintercept.com,1,93
93,hnvnews.com,1,1
94,hispantv.com,1,2
95,nbcnews.com,6,334
96,beforeitsnews.com,11,86
97,hugedomains.com,4,6
98,riskmap.com,1,7
99,investmentwatchblog.com,3,18
100,usnews.com,2,7
101,stj-sy.org,1,10
102,destyy.com,1,4
103,metronews.ca,1,1
104,clarityofsignal.com,20,2378
105,hangthebankers.com,1,21
